train_type,茨木発,千里丘発,岸辺発,吹田発,東淀川発,新大阪着,新大阪発,大阪着,大阪発,塚本発,尼崎着,尼崎発,立花発,甲子園口発,西宮発,さくら夙川発,芦屋着,芦屋発,甲南山手発,摂津本山発,住吉発,六甲道発,摩耶発,灘発,三ノ宮発,元町発,神戸発
普通,7:22,7:25,7:28,7:31,7:35,7:36,7:37,7:41,7:43,7:46,7:50,7:52,7:55,7:58,8:01,8:03,8:05,8:06,8:08,8:10,8:12,8:15,8:17,8:19,8:23,8:25,8:29
新快速,,,,,,7:40,7:40,7:44,7:46,,7:51,7:52,,,,,7:59,8:00,,,,,,,8:09,,8:13
普通,7:27,7:30,7:33,7:36,7:40,7:41,7:42,7:46,7:49,7:52,7:56,7:57,8:00,8:02,8:05,8:07,8:10,8:10,8:12,8:15,8:17,8:20,8:22,8:24,8:28,8:30,8:32
快速,7:39,,,,,7:46,7:47,7:51,7:53,,7:58,7:59,,,8:04,,8:08,8:08,,,8:13,8:16,,,8:20,8:22,8:25
普通,7:34,7:37,7:40,7:43,7:47,7:48,7:49,7:53,7:55,7:58,8:02,8:03,8:06,8:09,8:12,8:14,8:16,8:17,8:19,8:21,8:23,8:26,8:28,8:30,8:34,8:36,8:39
新快速,,,,,,7:51,7:52,7:56,7:58,,8:04,8:05,,,,,8:14,8:14,,,,,,,8:25,,8:29
普通,7:39,7:42,7:45,7:48,7:52,7:53,7:54,7:58,8:00,8:03,8:07,,,,,,,,,,,,,,,,
快速,7:49,,,,,7:56,7:57,8:01,8:03,,8:08,8:09,,,8:14,,8:18,8:18,,,8:23,8:26,,,8:30,8:32,8:35
普通,7:44,7:47,7:50,7:53,7:57,7:58,7:59,8:03,8:05,8:08,8:12,8:13,8:16,8:18,8:21,8:23,8:26,8:26,8:28,8:31,8:33,8:36,8:38,8:40,8:44,8:46,8:49
新快速,,,,,,7:59,8:00,8:04,,,,,,,,,,,,,,,,,,,
新快速,,,,,,,,,8:08,,8:13,8:14,,,,,8:24,8:24,,,,,,,8:34,,8:39
普通,7:49,7:52,7:55,7:58,8:02,8:03,8:04,8:08,8:10,8:13,8:17,,,,,,,,,,,,,,,,
普通,,,,,,,,,,,8:15,8:18,8:21,8:24,8:27,8:29,8:31,8:32,8:34,8:36,8:38,8:41,8:43,8:45,8:49,8:51,8:54
快速,7:59,,,,,8:06,8:07,8:11,8:12,,8:18,8:18,,,8:24,,8:27,8:28,,,8:33,8:36,,,8:40,8:42,8:45
普通,7:54,7:57,8:00,8:03,8:07,8:08,8:09,8:13,8:16,8:19,8:23,8:23,8:26,8:29,8:32,8:34,8:36,8:37,8:39,8:41,8:43,8:46,8:48,8:50,8:54,8:56,8:59
新快速,,,,,,8:11,8:11,8:15,8:19,,8:24,8:25,,,,,8:34,8:35,,,,,,,8:44,,8:49
普通,7:59,8:02,8:05,8:08,8:12,8:13,8:14,8:18,8:20,8:23,8:27,8:27,8:30,8:33,8:36,8:38,8:41,8:43,8:46,8:48,8:50,8:53,8:55,8:57,9:02,9:04,9:06
快速,8:09,,,,,8:17,8:17,8:22,8:25,,8:30,8:31,,,8:36,,8:41,8:42,,,8:47,8:50,,,8:57,8:59,9:02
普通,8:04,8:07,8:10,8:13,8:17,8:18,8:19,8:23,8:25,8:28,8:32,,,,,,,,,,,,,,,,
普通,,,,,,,,,,,8:34,8:36,8:39,8:42,8:45,8:47,8:49,8:50,8:52,8:54,8:56,8:59,9:01,9:03,9:06,9:08,9:11
新快速,,,,,,8:22,8:23,8:27,8:29,,8:34,8:35,,,,,8:44,8:45,,,,,,,8:54,,8:57
普通,8:09,8:12,8:15,8:18,8:22,8:23,8:24,8:28,8:31,8:34,8:38,8:40,,,,,,,,,,,,,,,
快速,8:19,,,,,8:26,8:27,8:32,,,,,,,,,,,,,,,,,,,
普通,8:14,8:17,8:20,8:23,8:27,8:28,8:29,8:33,8:35,8:38,8:42,,,,,,,,,,,,,,,,
普通,,,,,,,,,,,8:42,8:44,8:48,8:50,8:53,8:55,8:59,9:01,9:04,9:06,9:08,9:11,9:13,9:15,9:18,9:20,9:22
新快速,,,,,,8:33,8:33,8:37,8:39,,8:45,8:45,,,,,8:53,8:53,,,,,,,9:02,,9:05
普通,8:19,8:22,8:25,8:28,8:32,8:33,8:34,8:38,8:41,8:45,8:49,8:52,8:55,8:58,9:00,9:02,9:05,9:06,9:08,9:10,9:13,9:16,9:18,9:19,9:23,9:24,9:27
快速,8:31,,,,,8:38,8:39,8:43,8:44,,8:49,8:50,,,8:56,,8:59,9:00,,,9:05,9:08,,,9:13,9:15,9:17
